Marca e Modelo; Especificacoes; Precos
HONDA CITY;1.5 DX 16V FLEX 4P MANUAL;R$ 34.000
HONDA CITY;1.5 LX 16V FLEX 4P AUTOMÁTICO;R$ 48.900
HONDA CITY;1.5 EX 16V FLEX 4P AUTOMÁTICO;R$ 50.000
HONDA CITY;1.5 LX 16V FLEX 4P AUTOMÁTICO;R$ 51.999
HONDA CITY;1.5 LX 16V FLEX 4P AUTOMÁTICO;R$ 50.000
HONDA CITY;1.5 DX 16V FLEX 4P MANUAL;R$ 32.000
HONDA CITY;1.5 LX 16V FLEX 4P AUTOMÁTICO;R$ 31.000
HONDA CITY;1.5 EX 16V FLEX 4P AUTOMÁTICO;R$ 63.500
HONDA CITY;1.5 EX 16V FLEX 4P AUTOMÁTICO;R$ 48.500
HONDA CITY;1.5 EX 16V FLEX 4P AUTOMÁTICO;R$ 51.000
HONDA CITY;1.5 EXL 16V FLEX 4P AUTOMÁTICO;R$ 73.800
HONDA CITY;1.5 LX 16V FLEX 4P AUTOMÁTICO;R$ 58.700
HONDA CITY;1.5 EXL 16V FLEX 4P AUTOMÁTICO;R$ 68.000
HONDA CITY;1.5 LX 16V FLEX 4P AUTOMÁTICO;R$ 37.900
HONDA CITY;1.5 EXL 16V FLEX 4P AUTOMÁTICO;R$ 49.988
HONDA CITY;1.5 EX 16V FLEX 4P AUTOMÁTICO;R$ 58.000
HONDA CITY;1.5 EX 16V FLEX 4P AUTOMÁTICO;R$ 57.000
HONDA CITY;1.5 LX 16V FLEX 4P AUTOMÁTICO;R$ 53.000
HONDA CITY;1.5 LX 16V FLEX 4P MANUAL;R$ 31.000
HONDA CITY;1.5 LX 16V FLEX 4P AUTOMÁTICO;R$ 53.990
HONDA CITY;1.5 LX 16V FLEX 4P AUTOMÁTICO;R$ 36.500
HONDA CITY;1.5 LX 16V FLEX 4P AUTOMÁTICO;R$ 42.000
HONDA CITY;1.5 LX 16V FLEX 4P AUTOMÁTICO;R$ 37.900
HONDA CITY;1.5 EX 16V FLEX 4P AUTOMÁTICO;R$ 61.900
